window_idx,pred_command,confidence
194,12,0.2808
195,7,0.1124
197,8,0.6418
198,8,0.7001
199,8,0.2297
200,8,0.2676
201,8,0.3614
202,16,0.2290
205,21,0.1449
206,21,0.1612
207,24,0.1762
208,21,0.1628
209,7,0.1063
210,7,0.1153
211,0,0.1510
212,4,0.1645
214,21,0.1479
215,21,0.1371
216,8,0.1688
217,8,0.2088
218,12,0.1109
219,1,0.1215
220,8,0.1249
222,5,0.1597
223,21,0.1420
224,21,0.1031
226,5,0.1138
227,24,0.2021
228,24,0.1963
229,24,0.1396
230,7,0.1207
231,8,0.1134
232,19,0.1101
233,21,0.1502
234,21,0.1172
236,8,0.2475
237,8,0.1412
238,5,0.1395
240,8,0.1083
241,6,0.1110
242,7,0.1281
244,19,0.1947
245,7,0.1992
246,19,0.1343
250,21,0.1199
251,7,0.1224
252,21,0.1500
253,8,0.1758
254,8,0.3027
256,8,0.1464
257,8,0.1139
258,5,0.1340
259,9,0.1159
260,5,0.1843
262,8,0.1239
263,19,0.1282
264,7,0.1711
265,8,0.1637
266,6,0.1245
267,19,0.1546
268,23,0.1306
269,19,0.1070
270,21,0.1632
271,19,0.1711
272,19,0.1404
273,5,0.1222
275,8,0.1782
276,1,0.1671
277,1,0.2256
278,5,0.1104
279,7,0.1458
280,8,0.5909
281,8,0.3420
282,19,0.1218
283,8,0.1782
284,8,0.1651
285,7,0.1277
286,21,0.1034
288,8,0.1880
289,24,0.2050
290,7,0.2010
291,21,0.1738
292,7,0.1229
293,24,0.1490
294,24,0.1152
295,8,0.1848
296,8,0.1226
297,8,0.2862
298,8,0.1441
299,7,0.2157
300,24,0.1705
301,19,0.1199
303,21,0.1270
304,19,0.1451
305,21,0.1415
306,21,0.1427
307,8,0.1272
310,8,0.2305
312,24,0.1713
313,8,0.2257
314,8,0.2450
315,24,0.1740
316,24,0.1677
319,21,0.1448
321,8,0.1448
322,24,0.1204
325,19,0.1818
326,8,0.1812
327,7,0.1120
328,19,0.1375
329,8,0.1483
330,19,0.1489
331,23,0.1338
332,21,0.1221
334,8,0.1779
335,7,0.1366
336,7,0.1277
337,8,0.7879
338,8,0.4376
340,8,0.7016
341,8,0.1424
343,8,0.6379
345,8,0.1834
346,8,0.6556
347,21,0.1333
348,24,0.2639
349,8,0.4294
350,16,0.1937
351,7,0.1661
352,8,0.1237
353,21,0.1359
354,21,0.1860
355,21,0.1582
356,22,0.1776
357,8,0.2216
358,24,0.1259
359,24,0.2103
360,21,0.1425
362,24,0.1229
363,21,0.1133
364,8,0.8770
365,8,0.7460
366,24,0.1689
367,8,0.1820
368,8,0.2224
369,24,0.1712
370,24,0.3113
371,24,0.2181
372,8,0.3384
373,7,0.1055
374,19,0.1536
375,8,0.4547
376,8,0.3571
377,24,0.1498
378,15,0.1655
379,19,0.1424
380,21,0.1237
381,21,0.1871
382,19,0.1459
383,22,0.1762
384,24,0.4493
385,24,0.2208
386,0,0.1205
387,11,0.2201
388,7,0.1075
389,21,0.1244
390,22,0.1316
391,24,0.1204
392,21,0.1156
393,19,0.1629
394,24,0.1553
395,19,0.1525
396,19,0.1748
397,24,0.2393
398,24,0.1737
399,24,0.3050
400,24,0.2911
401,24,0.2286
402,24,0.2565
403,24,0.4692
404,24,0.2290
405,24,0.1715
406,24,0.1177
407,19,0.1358
409,7,0.1175
410,21,0.1347
411,21,0.1840
412,7,0.1199
413,24,0.2303
414,19,0.2330
415,24,0.2085
416,7,0.1683
417,24,0.3361
418,24,0.4929
419,24,0.3641
420,24,0.2099
421,19,0.1346
422,21,0.1756
423,7,0.1764
424,7,0.1796
425,22,0.1646
426,16,0.2881
427,21,0.1481
428,21,0.1552
429,0,0.1856
430,0,0.1189
431,21,0.1632
432,19,0.1388
434,21,0.1692
435,21,0.2471
436,0,0.1774
437,11,0.1848
438,22,0.1100
439,19,0.2010
440,23,0.1040
441,24,0.1325
442,24,0.3115
444,7,0.1527
445,32,0.1045
447,7,0.1942
448,7,0.2853
449,21,0.1035
450,0,0.1115
451,5,0.1037
452,21,0.1498
453,21,0.1715
454,5,0.1817
455,16,0.2582
456,16,0.4296
457,2,0.1503
458,5,0.1063
459,24,0.2012
460,28,0.1162
461,2,0.1532
462,2,0.2157
463,2,0.2623
465,16,0.1372
466,33,0.1506
469,5,0.1242
470,19,0.1185
472,12,0.1366
473,2,0.1482
474,12,0.1243
477,5,0.1108
478,4,0.1255
480,21,0.1311
481,5,0.1299
482,7,0.1394
484,28,0.1116
485,4,0.2743
486,2,0.2141
489,4,0.3607
491,21,0.1141
492,21,0.1139
493,24,0.1678
496,32,0.1182
497,7,0.1600
498,7,0.1622
502,7,0.1511
503,21,0.1477
506,24,0.1412
507,24,0.1882
508,5,0.1127
509,5,0.1920
510,5,0.1483
511,5,0.1804
512,21,0.2006
516,7,0.1139
517,19,0.1698
518,12,0.1386
519,25,0.1619
520,2,0.1398
521,15,0.2375
522,0,0.1818
523,1,0.1478
524,2,0.1439
525,12,0.2121
526,15,0.1385
527,29,0.1143
529,12,0.1215
530,31,0.1671
532,29,0.1179
533,2,0.1157
535,21,0.1167
536,7,0.1506
537,24,0.2870
538,24,0.3579
539,24,0.3672
541,32,0.1296
542,0,0.4343
543,11,0.2426
544,24,0.2889
545,30,0.1784
546,0,0.2111
547,7,0.1659
548,21,0.1230
549,8,0.1378
550,7,0.1198
551,8,0.1406
552,8,0.2835
553,0,0.3291
555,21,0.1369
556,21,0.1132
558,24,0.1451
559,21,0.1412
560,24,0.2855
561,8,0.1319
562,24,0.1530
563,24,0.1829
564,21,0.1179
565,21,0.1249
566,7,0.1372
567,8,0.1308
568,8,0.1456
569,7,0.1474
570,21,0.1070
571,21,0.1164
572,24,0.1225
573,24,0.1273
574,21,0.1546
575,24,0.1175
576,8,0.1401
577,8,0.1387
578,6,0.1030
579,30,0.1600
580,24,0.2266
581,21,0.1343
582,8,0.3431
583,8,0.1604
584,21,0.1219
585,21,0.1696
586,8,0.1123
587,8,0.2058
588,8,0.3517
589,8,0.1413
591,8,0.1067
592,7,0.1282
593,8,0.1766
594,8,0.2374
595,8,0.4059
596,7,0.1454
598,8,0.2475
599,24,0.4087
600,24,0.2845
601,8,0.2435
602,24,0.1186
603,19,0.1403
604,8,0.1532
605,8,0.1174
606,8,0.1200
607,19,0.1838
608,8,0.1499
609,8,0.1260
610,8,0.1280
611,24,0.2225
612,21,0.1268
613,8,0.3658
614,30,0.1088
615,24,0.2235
616,8,0.2316
617,8,0.1861
618,21,0.1625
619,24,0.1602
620,8,0.3215
621,8,0.2865
622,24,0.3074
623,24,0.6466
624,19,0.1667
625,19,0.1613
626,24,0.1521
627,8,0.1216
628,19,0.1085
629,7,0.1073
630,8,0.4221
631,8,0.1131
632,21,0.2064
633,24,0.1820
634,8,0.1314
636,24,0.3184
637,8,0.2262
638,11,0.1595
639,21,0.1474
640,8,0.3917
641,8,0.2767
642,21,0.1516
643,8,0.1500
644,7,0.1356
645,7,0.1837
646,8,0.1794
647,8,0.3516
648,24,0.2930
649,21,0.1672
650,8,0.3238
651,11,0.1459
653,8,0.1475
654,21,0.1835
655,11,0.1226
656,11,0.1094
657,19,0.1208
658,8,0.1481
659,24,0.1626
661,11,0.1031
662,24,0.2113
663,8,0.1779
664,24,0.1585
665,24,0.1094
666,21,0.1350
667,24,0.1613
668,19,0.1214
669,8,0.2772
670,19,0.2598
671,24,0.3810
672,24,0.2618
673,10,0.2353
674,24,0.2526
675,19,0.1842
676,16,0.2748
677,8,0.2850
678,8,0.2420
679,19,0.2165
680,8,0.5636
681,8,0.6207
682,8,0.2310
683,19,0.1230
684,19,0.2525
685,7,0.2300
686,7,0.2021
687,7,0.2220
688,19,0.1348
689,19,0.1805
690,19,0.1411
691,21,0.1252
692,7,0.1576
693,21,0.1095
694,21,0.1454
696,16,0.3433
697,8,0.5266
702,8,0.4269
703,8,0.3636
704,7,0.1780
705,5,0.1204
708,8,0.8354
709,8,0.2606
710,8,0.1153
711,8,0.2337
712,8,0.1560
713,8,0.4164
714,19,0.1536
715,8,0.1936
716,8,0.1723
717,8,0.5968
718,20,0.1539
719,8,0.4803
720,8,0.1234
721,8,0.1337
722,8,0.5956
723,8,0.5623
724,21,0.1401
725,8,0.3909
726,8,0.3793
727,5,0.2028
728,8,0.3152
729,8,0.7032
730,8,0.4762
731,8,0.8365
732,8,0.8394
733,8,0.2682
734,8,0.7159
735,8,0.2741
736,7,0.1219
737,19,0.2072
738,8,0.7930
739,8,0.3034
740,8,0.2513
741,8,0.6220
742,16,0.2204
744,8,0.3869
745,16,0.1834
747,24,0.1635
748,16,0.1465
749,16,0.1185
750,5,0.1112
751,24,0.2324
752,19,0.1312
753,21,0.1079
754,7,0.1084
755,8,0.2016
756,6,0.1028
757,8,0.2168
758,30,0.2806
759,19,0.1485
760,5,0.3509
761,8,0.3050
762,8,0.3641
763,21,0.1349
764,21,0.1143
765,7,0.1303
766,19,0.1797
767,10,0.2169
768,7,0.2552
769,5,0.1325
770,7,0.1324
771,7,0.2635
772,24,0.2351
773,21,0.1772
774,7,0.1159
775,8,0.1316
776,10,0.2160
777,24,0.2758
778,24,0.1695
779,21,0.2032
780,21,0.2573
781,8,0.2236
782,9,0.1813
783,7,0.1353
784,19,0.2362
785,19,0.1156
786,21,0.1129
787,19,0.1454
788,19,0.1950
789,21,0.1368
790,7,0.1550
791,24,0.1721
792,7,0.1668
793,8,0.1535
794,7,0.1343
795,21,0.1788
796,23,0.1103
797,8,0.1868
798,8,0.3259
799,21,0.1312
800,19,0.1225
801,10,0.1198
802,24,0.1701
803,8,0.1427
804,24,0.1180
805,8,0.2830
806,8,0.2315
807,8,0.5258
808,8,0.3176
809,24,0.2084
810,21,0.2445
811,19,0.1741
812,8,0.5994
813,8,0.2114
814,24,0.2380
815,24,0.2093
816,8,0.1720
817,7,0.1068
818,8,0.1641
819,10,0.1664
820,8,0.3964
821,8,0.3510
822,8,0.4638
823,8,0.5558
824,19,0.1369
825,22,0.1940
826,16,0.2146
827,16,0.3353
828,8,0.4944
829,8,0.1335
830,0,0.1774
831,0,0.7953
832,0,0.5625
833,2,0.1955
834,33,0.2108
835,33,0.3150
836,33,0.5285
837,33,0.6206
838,4,0.4606
839,1,0.1191
840,24,0.1619
843,21,0.1035
846,24,0.1415
847,7,0.1377
848,24,0.1675
849,24,0.1764
850,24,0.1378
851,10,0.1435
852,8,0.1144
854,5,0.1454
855,8,0.1121
856,10,0.1165
857,5,0.1680
860,2,0.2625
862,24,0.1370
864,8,0.4130
866,4,0.2045
867,4,0.1469
868,19,0.1862
869,24,0.1761
870,24,0.1749
871,19,0.1217
873,23,0.1112
874,19,0.1424
875,5,0.1025
876,5,0.3010
877,5,0.1939
878,7,0.1172
880,7,0.1039
881,24,0.1070
882,24,0.1027
883,24,0.1089
884,24,0.1233
885,24,0.1140
887,7,0.1404
888,19,0.1964
889,6,0.1597
890,8,0.1413
891,8,0.2054
892,19,0.1880
893,7,0.1598
894,7,0.1403
895,24,0.1398
896,7,0.1045
898,24,0.1074
899,24,0.1048
901,13,0.1055
902,13,0.1085
903,24,0.1164
904,24,0.1439
905,24,0.1112
906,24,0.2050
907,8,0.5727
908,9,0.1782
909,24,0.1868
910,19,0.1729
911,8,0.4637
912,8,0.3041
913,23,0.1457
914,19,0.2086
915,19,0.1219
917,5,0.2383
918,7,0.1916
919,7,0.1236
920,5,0.2091
921,5,0.1235
922,5,0.1929
923,7,0.1286
924,21,0.1514
925,0,0.1142
926,12,0.1035
927,4,0.5667
928,4,0.9480
930,19,0.1537
931,6,0.1267
932,4,0.1853
934,25,0.1061
935,19,0.1647
936,24,0.2403
938,18,0.1267
939,7,0.1211
940,23,0.1502
941,23,0.1551
942,12,0.2551
943,12,0.2241
944,23,0.1435
945,4,0.1395
946,4,0.4029
949,8,0.1286
950,7,0.1450
951,7,0.1986
952,21,0.2034
953,19,0.1327
954,15,0.1092
955,15,0.1654
956,15,0.1031
957,24,0.2146
958,7,0.2749
959,7,0.2106
960,19,0.1826
961,16,0.2046
962,23,0.1542
963,16,0.2646
964,8,0.8314
965,8,0.6575
966,15,0.1733
967,7,0.3200
968,7,0.1436
969,5,0.1224
971,5,0.1582
972,7,0.1682
973,21,0.1287
976,30,0.1532
979,7,0.1128
980,7,0.1383
981,7,0.1587
982,16,0.1392
983,0,0.1117
985,21,0.1050
986,29,0.1059
988,30,0.1363
989,24,0.1268
991,29,0.1200
993,21,0.1091
994,19,0.1071
995,24,0.2458
996,24,0.2303
997,19,0.1619
999,19,0.1137
1000,19,0.1477
1001,21,0.1603
1002,24,0.1448
1004,24,0.1232
1005,24,0.2373
1006,24,0.2270
1007,24,0.1320
1008,21,0.1737
1009,7,0.1438
1011,16,0.1389
1012,0,0.1272
1013,5,0.1059
1014,8,0.2420
1016,8,0.2902
1017,8,0.3261
1018,15,0.1172
1019,29,0.1223
1021,8,0.2814
1022,31,0.1337
1023,5,0.1204
1024,8,0.3006
1025,8,0.2663
1026,7,0.2802
1027,7,0.1145
1028,30,0.1802
1029,7,0.1857
1030,7,0.1272
1031,24,0.1129
1032,15,0.1177
1033,5,0.2001
1035,24,0.3290
1036,19,0.1456
1037,32,0.1175
1038,31,0.1028
1039,30,0.1400
1040,7,0.1505
1041,21,0.1644
1042,21,0.2919
1043,5,0.1560
1045,21,0.1418
1046,7,0.1186
1047,13,0.1178
1049,21,0.1063
1050,21,0.1445
1051,23,0.2272
1053,24,0.1029
1055,19,0.1433
1056,7,0.1413
1057,21,0.1125
1058,24,0.1317
1059,19,0.1182
1060,23,0.1679
1061,23,0.1418
1062,1,0.1148
1063,19,0.1526
1064,19,0.1403
1065,19,0.1305
1066,7,0.1317
1067,21,0.1368
1068,8,0.1555
1069,8,0.2456
1070,5,0.1137
1072,28,0.1090
1073,28,0.1318
1074,21,0.1165
1075,7,0.1072
1076,23,0.1944
1077,23,0.1621
1078,7,0.1136
1079,0,0.1177
1080,8,0.6130
1082,8,0.1671
1083,8,0.8627
1084,8,0.2238
1085,7,0.1207
1086,8,0.1673
1087,28,0.1267
1089,21,0.1283
1090,8,0.3873
1091,8,0.6681
1094,8,0.1391
1095,8,0.2904
1097,7,0.1161
1099,23,0.1184
1100,19,0.2827
1101,7,0.1956
1102,21,0.1430
1103,8,0.1631
1104,16,0.2186
1105,23,0.1704
1107,8,0.1346
1108,23,0.1303
1109,19,0.1135
1110,21,0.1446
1111,21,0.1461
1112,21,0.1543
1113,23,0.1597
1114,19,0.2775
1115,7,0.1587
1116,24,0.1329
1117,21,0.1084
1118,7,0.1963
1119,7,0.1810
1120,7,0.2128
1121,7,0.2524
1122,7,0.1722
1123,7,0.1905
1124,7,0.1760
1125,24,0.1791
1126,7,0.1509
1127,21,0.1453
1128,21,0.1330
1131,24,0.1235
1133,7,0.1067
1134,24,0.1155
1137,5,0.1122
1138,9,0.1348
1139,9,0.1265
1141,5,0.1233
1142,7,0.1555
1143,7,0.1558
1144,24,0.3954
1146,24,0.1101
1147,7,0.1357
1149,4,0.3304
1152,4,0.3546
1153,4,0.2672
1154,7,0.1080
1155,24,0.1676
1157,4,0.4314
1158,25,0.1110
1159,7,0.1044
1160,7,0.1202
1161,33,0.1494
1162,0,0.1057
1165,25,0.1237
1166,25,0.1871
1167,25,0.1265
1169,13,0.1407
1170,0,0.1288
1171,25,0.1805
1172,7,0.1182
1177,24,0.1037
1178,21,0.1223
1179,7,0.1038
1180,5,0.1732
1181,19,0.1057
1183,5,0.1662
1184,5,0.1826
1187,9,0.1600
1191,5,0.1971
1192,5,0.1905
1193,7,0.1299
1194,7,0.1525
1196,8,0.6340
1197,8,0.6429
1200,19,0.1457
1201,7,0.1147
1202,5,0.1268
1203,5,0.1244
1207,7,0.1043
1209,31,0.1285
1210,11,0.1193
1211,21,0.1298
1212,21,0.1882
1213,20,0.1184
1214,20,0.1451
1215,22,0.1195
1216,8,0.2009
1217,20,0.1467
1218,30,0.1220
1219,21,0.1858
1220,7,0.1752
1221,21,0.2452
1222,21,0.2137
1223,24,0.3892
1225,4,0.1031
1226,21,0.1139
1227,19,0.1845
1228,15,0.2538
1229,15,0.1714
1232,32,0.1728
1233,19,0.1678
1234,19,0.1948
1235,9,0.1717
1236,19,0.1468
1237,8,0.1479
1238,7,0.1596
1239,19,0.1893
1240,19,0.1922
1241,19,0.1382
1243,5,0.1559
1244,21,0.1883
1245,9,0.2312
1246,5,0.2381
1247,9,0.1416
1248,9,0.2446
1249,9,0.2160
1250,9,0.3413
1251,9,0.4281
1252,16,0.3252
1253,19,0.1907
1254,9,0.1351
1255,5,0.1308
1256,8,0.2299
1257,16,0.5676
1258,16,0.1714
1259,11,0.1916
1260,11,0.2379
1261,16,0.1735
1262,16,0.2529
1263,9,0.2259
1264,7,0.1940
1265,19,0.1791
1266,19,0.3239
1267,19,0.2615
1268,7,0.1456
1269,7,0.1484
1270,21,0.1306
1271,19,0.2158
1272,21,0.3265
1273,19,0.1683
1274,19,0.1974
1275,5,0.1741
1276,7,0.1460
1277,19,0.1441
1278,21,0.1245
1279,21,0.1873
1280,19,0.1166
1281,19,0.2698
1282,16,0.1703
1283,5,0.1192
1284,19,0.2424
1285,16,0.4015
1286,19,0.1441
1287,19,0.1088
1289,19,0.2032
1290,19,0.1888
1291,5,0.1970
1292,5,0.1834
1293,19,0.1437
1294,9,0.1988
1295,5,0.1218
1296,21,0.1209
1297,7,0.1176
1298,16,0.1151
1299,9,0.2317
1300,8,0.1707
1301,5,0.1127
1302,7,0.1085
1303,19,0.1430
1304,19,0.2313
1305,9,0.3305
1306,8,0.3526
1307,9,0.2187
1308,5,0.1211
1309,16,0.1623
1310,16,0.6144
1311,16,0.2300
1312,5,0.2119
1313,9,0.2732
1314,8,0.5678
1315,5,0.1792
1316,5,0.1720
1317,15,0.1845
1318,24,0.3177
1319,24,0.2793
1320,21,0.2112
1321,8,0.1464
1322,24,0.1502
1323,24,0.1543
1325,7,0.1411
1326,15,0.1087
1327,16,0.1505
1328,21,0.3529
1329,24,0.3196
1330,24,0.2545
1331,24,0.1542
1332,7,0.1206
1333,9,0.1199
1334,21,0.1320
1335,8,0.1588
1336,8,0.2169
1337,8,0.1330
1338,7,0.1071
1339,7,0.2031
1340,5,0.1798
1341,15,0.1816
1342,21,0.1670
1343,19,0.1516
1344,5,0.1280
1345,15,0.1332
1346,19,0.1565
1347,8,0.2449
1348,21,0.1507
1349,5,0.1478
1350,19,0.1456
1351,8,0.2925
1352,21,0.1898
1353,19,0.1048
1355,19,0.1628
1356,19,0.1858
1357,8,0.1414
1358,8,0.3358
1359,21,0.1608
1360,7,0.1567
1361,7,0.1231
1362,7,0.1192
1363,7,0.1337
1365,15,0.2368
1366,21,0.2812
1367,19,0.2210
1368,7,0.1094
1369,21,0.1117
1370,16,0.2303
1371,21,0.1829
1372,15,0.1294
1373,21,0.1465
1374,8,0.5813
1375,8,0.1537
1376,19,0.1466
1377,21,0.1325
1378,9,0.3095
1379,23,0.2195
1380,19,0.1905
1381,24,0.1913
1382,5,0.1280
1383,23,0.1619
1384,20,0.1545
1385,7,0.1188
1388,19,0.1493
1389,23,0.1542
1390,7,0.2124
1391,7,0.1808
1392,21,0.1277
1393,21,0.1593
1394,7,0.1721
1395,21,0.2700
1396,8,0.2053
1398,21,0.2137
1399,8,0.3469
1400,24,0.1271
1401,24,0.1493
1402,24,0.1861
1403,24,0.1337
1404,24,0.2474
1405,24,0.1585
1406,5,0.1415
1407,16,0.2150
1408,19,0.1279
1409,19,0.1862
1410,8,0.1835
1411,8,0.1381
1412,8,0.1442
1413,21,0.1645
1414,7,0.1258
1415,5,0.3008
1416,5,0.1850
1417,8,0.2378
1418,19,0.1588
1419,19,0.1675
1420,19,0.1804
1421,8,0.4052
1422,9,0.3897
1423,9,0.4371
1424,9,0.5333
1425,9,0.5275
1426,8,0.5327
1427,9,0.6887
1428,8,0.4940
1429,8,0.4474
1430,8,0.3472
1431,9,0.5452
1432,9,0.3661
1433,8,0.5695
1434,8,0.6923
1435,8,0.5256
1436,9,0.4471
1437,9,0.3251
1438,8,0.4909
1439,19,0.1780
1440,24,0.1651
1441,5,0.1969
1442,5,0.1579
1443,24,0.1229
1444,8,0.4449
1445,8,0.5998
1446,19,0.1659
1447,5,0.1693
1448,7,0.1280
1449,8,0.1551
1450,8,0.5216
1451,8,0.6561
1452,9,0.3678
1453,9,0.1174
1454,7,0.1409
1455,19,0.1309
1456,16,0.3814
1457,19,0.2238
1458,9,0.1745
1459,8,0.1616
1460,19,0.1406
1461,8,0.4172
1462,16,0.1968
1463,19,0.1598
1464,24,0.1482
1465,24,0.1091
1466,19,0.1789
1467,19,0.1481
1468,16,0.5068
1469,8,0.3961
1470,19,0.1782
1471,7,0.2117
1472,7,0.1207
1473,9,0.1467
1474,19,0.2879
1475,19,0.2191
1477,5,0.1920
1478,7,0.1242
1479,5,0.1167
1480,19,0.1084
1481,21,0.1512
1482,21,0.1557
1483,5,0.1562
1484,9,0.1335
1485,24,0.1689
1486,19,0.1675
1487,19,0.1434
1488,7,0.1534
1489,7,0.1136
1490,7,0.1079
1491,16,0.1975
1492,8,0.5841
1493,0,0.1458
1494,5,0.1196
1495,7,0.1157
1496,8,0.1323
1497,8,0.7228
1498,28,0.1727
1501,21,0.1078
1503,22,0.1496
1504,28,0.1296
1505,12,0.1790
1506,8,0.5671
1507,8,0.7618
1508,8,0.7162
1509,8,0.1719
1510,8,0.1491
1511,8,0.3222
1512,8,0.5615
1513,8,0.6965
1514,8,0.1608
1515,8,0.1241
1516,8,0.3034
1517,8,0.6535
1518,8,0.2464
1519,7,0.1458
1520,7,0.1666
1521,24,0.1916
1522,30,0.1503
1524,16,0.4632
1525,16,0.4272
1526,8,0.4436
1527,8,0.4129
1528,8,0.2370
1529,7,0.1923
1530,7,0.1539
1531,7,0.1239
1532,5,0.1626
1533,8,0.4197
1534,8,0.8054
1535,8,0.6711
1536,8,0.1910
1538,7,0.1361
1539,5,0.3055
1540,7,0.1642
1541,24,0.1584
1542,24,0.1872
1543,8,0.2860
1544,8,0.5342
1545,8,0.4354
1547,5,0.2095
1548,5,0.1818
1549,21,0.1238
1550,7,0.1319
1551,7,0.1363
1552,19,0.1323
1553,16,0.3243
1554,9,0.2423
1555,5,0.1879
1556,5,0.1336
1557,7,0.1511
1558,7,0.1538
1559,7,0.1077
1560,9,0.1392
1561,9,0.1851
1562,8,0.2083
1563,8,0.7603
1564,8,0.6376
1565,8,0.2436
1566,7,0.1287
1567,19,0.1141
1568,21,0.1275
1569,8,0.7289
1570,8,0.1040
1571,9,0.1231
1572,16,0.2889
1573,16,0.4467
1574,8,0.4902
1575,9,0.1736
1576,16,0.2088
1577,8,0.6272
1578,16,0.3881
1579,8,0.1185
1580,8,0.8402
1581,8,0.7963
1582,19,0.1851
1583,21,0.1423
1584,21,0.1223
1585,19,0.1414
1586,7,0.1816
1587,7,0.1150
1588,7,0.1190
1590,21,0.1150
1591,5,0.1267
1592,5,0.1052
1593,19,0.1037
1596,14,0.1132
1597,5,0.1778
1598,6,0.1242
1599,6,0.1304
1600,19,0.1723
1601,8,0.1532
1602,25,0.1154
1603,25,0.1920
1606,19,0.1639
1607,19,0.1448
1608,19,0.1173
1610,19,0.1324
1611,19,0.1412
1612,19,0.1085
1614,7,0.1936
1615,7,0.1488
1616,7,0.1277
1618,28,0.1150
1619,19,0.1427
1622,5,0.1302
1625,5,0.1778
1626,5,0.1616
1627,19,0.1154
1629,7,0.1190
1632,5,0.2055
1633,5,0.1066
1634,12,0.1075
1636,19,0.1414
1639,23,0.1039
1641,28,0.1089
1642,6,0.1488
1643,28,0.1572
1644,23,0.1527
1646,12,0.1029
1647,28,0.1138
1648,9,0.1135
1649,23,0.1700
1650,23,0.1518
1651,19,0.1303
1652,13,0.1278
1654,16,0.1236
1655,1,0.1267
1656,9,0.2466
1657,6,0.1117
1658,1,0.1365
1659,4,0.2771
1662,22,0.1759
1663,8,0.7506
1664,8,0.5582
1665,8,0.5810
1666,16,0.5793
1667,12,0.2736
1669,21,0.1962
1670,8,0.1671
1671,19,0.1274
1672,8,0.5112
1673,8,0.6440
1674,7,0.1300
1675,24,0.1601
1676,19,0.1535
1677,8,0.7389
1678,8,0.3929
1679,7,0.1531
1680,19,0.2579
1681,16,0.2257
1682,8,0.2361
1683,21,0.2871
1684,7,0.2455
1685,11,0.1529
1686,24,0.1865
1687,23,0.1463
1688,19,0.1766
1689,19,0.1386
1690,7,0.1183
1691,8,0.2032
1692,19,0.1088
1693,8,0.2516
1694,8,0.4050
1695,8,0.2333
1696,10,0.1720
1697,24,0.1618
1698,21,0.1824
