window_idx,pred_command,confidence,pose0,pose1,pose2,pose3,pose4,pose5,pose6,pose7,pose8,pose9,pose10,pose11,pose12,pose13,pose14,pose15,pose16,pose17,pose18,pose19
22,3,0.2026,0.0917,-0.2316,0.6158,0.7298,0.1390,0.0545,0.6623,0.3904,-0.1623,0.2263,0.7858,0.5550,-0.3181,0.2521,0.7797,0.5994,-0.5142,0.5574,0.4760,0.4874
23,3,0.1824,0.0625,-0.3691,0.6305,0.5335,0.3458,0.0595,0.5311,0.4621,-0.0926,0.1934,0.6231,0.5741,-0.3485,0.1905,0.6644,0.5717,-0.6188,0.5515,0.4455,0.4552
24,0,0.1662,0.1021,-0.3289,0.6497,0.5012,0.3130,0.0815,0.6166,0.4592,-0.1157,0.2420,0.7004,0.6010,-0.3238,0.2575,0.7486,0.6363,-0.5303,0.4729,0.6112,0.6134
25,2,0.2097,0.1669,-0.1992,0.6336,0.6166,0.1611,0.1493,0.7396,0.3807,-0.1599,0.3080,0.8268,0.5833,-0.2745,0.2735,0.8628,0.6714,-0.3604,0.2675,0.7218,0.6821
28,0,0.3038,0.2162,-0.1560,0.5995,0.7457,0.0530,0.3086,0.7545,0.3455,-0.1693,0.2899,0.7270,0.4794,-0.2946,0.1522,0.8000,0.5288,-0.3539,0.3182,0.6197,0.4740
29,0,0.3781,0.2381,-0.1055,0.6035,0.8422,-0.0075,0.3286,0.8963,0.3198,-0.2001,0.3544,0.8046,0.4707,-0.2672,0.2193,0.8433,0.5478,-0.3164,0.3028,0.6378,0.5115
30,0,0.1449,0.1603,-0.1396,0.6327,0.8790,0.0807,0.2385,0.9309,0.3441,-0.1626,0.3358,0.8466,0.5000,-0.2469,0.2035,0.8701,0.5802,-0.3472,0.2825,0.5901,0.5088
32,0,0.3712,0.0460,-0.3371,0.6599,0.6801,0.2920,0.2565,0.4941,0.4390,-0.1337,0.2179,0.7015,0.6014,-0.3270,0.1761,0.7064,0.5696,-0.4833,0.2716,0.5408,0.4430
33,3,0.1529,0.0430,-0.2863,0.6401,0.7839,0.2279,0.2802,0.6384,0.4136,-0.1439,0.2669,0.7538,0.5956,-0.3012,0.1741,0.7889,0.6132,-0.4320,0.2452,0.5766,0.5182
35,3,0.2634,0.0834,-0.4080,0.6742,0.6809,0.3890,0.2148,0.6379,0.6394,-0.0140,0.1204,0.7369,0.7634,-0.3358,0.1218,0.7491,0.7012,-0.5649,0.3645,0.6024,0.6815
36,0,0.2814,0.0342,-0.3748,0.6953,0.7741,0.3264,0.3178,0.6418,0.5629,-0.0382,0.2716,0.6675,0.7178,-0.3087,0.2634,0.6912,0.7051,-0.4609,0.3060,0.6079,0.6989
38,3,0.1697,-0.0218,-0.4443,0.6879,0.5808,0.4401,0.1850,0.4304,0.5050,0.0139,0.1922,0.5989,0.6538,-0.3138,0.1360,0.7438,0.6768,-0.5268,0.2066,0.5837,0.5373
39,3,0.5482,-0.0120,-0.4056,0.6727,0.6004,0.4130,0.2142,0.4679,0.5339,0.0184,0.2108,0.6531,0.6825,-0.3340,0.2188,0.7672,0.7117,-0.5162,0.2512,0.6697,0.6212
40,3,0.4888,-0.0713,-0.3575,0.6664,0.6153,0.3948,0.2117,0.4248,0.4963,-0.0068,0.2682,0.5910,0.6796,-0.3182,0.2736,0.6944,0.6963,-0.4690,0.3092,0.6259,0.6411
41,3,0.5992,-0.1155,-0.3643,0.6792,0.6225,0.4492,0.2193,0.4779,0.4457,0.0291,0.3308,0.5534,0.6586,-0.2996,0.3127,0.6321,0.6524,-0.5513,0.4635,0.4969,0.5660
43,3,0.1586,-0.1524,-0.3340,0.7735,1.0818,0.3778,0.1982,0.9171,0.7214,0.0432,0.4248,0.7726,0.8336,-0.2666,0.3946,0.8278,0.8254,-0.5079,0.5332,0.5379,0.6643
46,3,0.1826,-0.1155,-0.3473,0.6691,0.4567,0.4444,0.1906,0.3936,0.4066,0.0581,0.3042,0.5245,0.5309,-0.2677,0.3509,0.6586,0.6202,-0.6351,0.6680,0.3968,0.4495
47,0,0.6208,-0.1027,-0.3567,0.6569,0.3314,0.4293,0.2323,0.4474,0.4283,0.0562,0.4047,0.5425,0.6134,-0.2738,0.3714,0.7352,0.6996,-0.5557,0.5454,0.5357,0.5884
48,1,0.2104,-0.1677,-0.3096,0.6392,0.4544,0.4088,0.2502,0.4492,0.4100,0.0189,0.4415,0.5625,0.6367,-0.2639,0.3533,0.7385,0.7124,-0.4547,0.4270,0.5909,0.6301
49,3,0.2839,-0.1758,-0.2979,0.6217,0.4450,0.4130,0.2285,0.4112,0.3925,-0.0191,0.4040,0.5760,0.6234,-0.2730,0.3684,0.6722,0.6605,-0.5183,0.5380,0.4503,0.5032
50,0,0.2553,-0.1501,-0.3159,0.6095,0.4196,0.4133,0.2170,0.4517,0.3992,-0.0070,0.3789,0.6075,0.6101,-0.2730,0.3734,0.6723,0.6424,-0.5629,0.6040,0.3975,0.4519
51,0,0.3542,-0.1152,-0.3014,0.6187,0.4601,0.3837,0.2313,0.5378,0.3893,-0.0370,0.3772,0.6393,0.5852,-0.2757,0.3193,0.7287,0.6704,-0.4757,0.4237,0.5169,0.5415
54,0,0.5759,-0.0986,-0.3063,0.6126,0.5499,0.3658,0.3185,0.5086,0.5319,-0.0912,0.2720,0.5226,0.5934,-0.2452,0.1122,0.6642,0.5351,-0.3903,0.0125,0.5447,0.3278
55,0,0.3240,-0.0520,-0.2601,0.6078,0.6717,0.2362,0.2916,0.6488,0.4304,-0.1257,0.3736,0.5746,0.5430,-0.2587,0.2097,0.6908,0.5181,-0.3838,0.0912,0.5399,0.3136
58,0,0.3099,0.0373,-0.3433,0.6342,0.5846,0.3812,0.2454,0.5723,0.5172,-0.0350,0.2289,0.5758,0.5684,-0.3273,0.1223,0.6183,0.5083,-0.4526,0.0457,0.4743,0.2481
59,0,0.5343,0.0270,-0.2851,0.6378,0.6779,0.2837,0.2861,0.6794,0.4490,-0.0130,0.3994,0.6265,0.5540,-0.2614,0.2199,0.7455,0.5435,-0.3888,0.0740,0.5348,0.3017
60,0,0.1453,-0.0318,-0.3229,0.6577,0.6795,0.3142,0.2433,0.6116,0.4233,-0.0271,0.3780,0.5839,0.5312,-0.2481,0.2095,0.7096,0.5307,-0.4106,0.1343,0.4896,0.2969
61,0,0.3703,-0.0530,-0.3680,0.6475,0.5289,0.4017,0.1695,0.3505,0.4072,-0.1055,0.2232,0.4390,0.4759,-0.2979,0.1182,0.5172,0.4372,-0.4637,0.1316,0.3774,0.1857
62,0,0.3433,-0.0404,-0.3341,0.6316,0.5256,0.3924,0.1670,0.2736,0.3742,-0.1016,0.2531,0.4026,0.4581,-0.2978,0.1340,0.5367,0.4305,-0.4437,0.1065,0.4280,0.1903
63,0,0.2581,0.0046,-0.3306,0.6696,0.6406,0.4080,0.2263,0.4270,0.4384,-0.0007,0.2519,0.5635,0.5128,-0.2754,0.1290,0.6815,0.5158,-0.4675,0.1722,0.4675,0.2794
64,0,0.3739,0.0595,-0.3487,0.6841,0.7374,0.4192,0.2877,0.6098,0.4787,0.0797,0.2175,0.7202,0.5353,-0.2563,0.0981,0.7679,0.5573,-0.4826,0.2001,0.4492,0.3051
65,0,0.2664,0.0112,-0.3693,0.6470,0.6926,0.4222,0.2715,0.5052,0.4428,0.0425,0.2099,0.6290,0.5220,-0.2719,0.0820,0.7087,0.5271,-0.4756,0.1286,0.4295,0.2738
66,3,0.3069,-0.0605,-0.3937,0.6179,0.3479,0.4340,0.2456,0.3127,0.4192,-0.0144,0.2139,0.4516,0.4977,-0.2890,0.0817,0.5593,0.4742,-0.4870,0.1017,0.3900,0.2176
67,3,0.4261,-0.1156,-0.3809,0.5683,-0.0233,0.4327,0.1785,0.0886,0.3150,-0.0980,0.2950,0.2113,0.3655,-0.2816,0.1287,0.3613,0.3523,-0.5159,0.1562,0.3231,0.1147
69,3,0.2249,-0.1676,-0.2895,0.6207,0.5060,0.3303,0.2455,0.4998,0.2471,-0.1246,0.6431,0.3479,0.3945,-0.2799,0.2749,0.5414,0.4544,-0.4732,0.1439,0.3224,0.1042
70,0,0.1703,-0.1572,-0.3217,0.6220,0.5337,0.3869,0.2151,0.4256,0.3777,-0.1355,0.4436,0.3329,0.4518,-0.2996,0.2072,0.4996,0.4575,-0.5153,0.1863,0.3268,0.1298
72,0,0.3394,-0.0239,-0.2833,0.6052,0.6227,0.3211,0.1888,0.4569,0.3987,-0.1658,0.3266,0.3781,0.4310,-0.3151,0.1603,0.5069,0.4257,-0.4739,0.1919,0.3636,0.2072
74,0,0.6271,0.0089,-0.3121,0.5823,0.6277,0.2286,0.1639,0.4823,0.4633,-0.1260,0.1427,0.5273,0.4961,-0.2900,0.0860,0.5774,0.4478,-0.4684,0.3262,0.2902,0.2163
75,0,0.3925,0.0836,-0.3044,0.5895,0.5754,0.1938,0.1573,0.5744,0.4468,-0.1484,0.1941,0.6727,0.5419,-0.3077,0.1220,0.7030,0.5125,-0.4697,0.3208,0.3756,0.2737
77,0,0.2425,0.0869,-0.3953,0.5963,0.1905,0.3817,0.1485,0.5228,0.4914,-0.0434,0.1379,0.6748,0.5897,-0.2829,0.0003,0.7255,0.5540,-0.4651,0.0720,0.4696,0.2999
78,0,0.6404,0.0441,-0.3980,0.5955,0.1008,0.3987,0.1543,0.4033,0.4788,-0.0712,0.1748,0.5214,0.5306,-0.3046,0.0795,0.5918,0.4873,-0.4736,0.1134,0.4243,0.2301
79,0,0.7982,0.0071,-0.3517,0.6013,0.2579,0.3557,0.1797,0.4748,0.4379,-0.0964,0.2823,0.5342,0.5270,-0.3233,0.1690,0.6138,0.5067,-0.4550,0.1718,0.4388,0.2721
80,0,0.8798,-0.0244,-0.3281,0.6200,0.4943,0.3793,0.2725,0.4705,0.4291,-0.0589,0.2994,0.5437,0.5102,-0.3122,0.1446,0.6514,0.5114,-0.4568,0.1561,0.4708,0.2939
81,0,0.7506,0.0021,-0.3093,0.6206,0.5857,0.4131,0.3364,0.4346,0.4241,-0.0300,0.2658,0.5458,0.4909,-0.3026,0.1063,0.6593,0.4977,-0.4625,0.1305,0.4759,0.2780
82,0,0.5130,0.0129,-0.2817,0.6091,0.6189,0.3706,0.3140,0.4767,0.3901,-0.0683,0.3030,0.5535,0.4735,-0.3176,0.1537,0.6448,0.4919,-0.4650,0.1885,0.4663,0.2864
83,0,0.2235,-0.0048,-0.2726,0.6120,0.6319,0.3165,0.2957,0.5194,0.3741,-0.0892,0.3690,0.5447,0.4730,-0.3167,0.1889,0.6458,0.5040,-0.4459,0.2016,0.4652,0.3091
84,0,0.5011,-0.0332,-0.3123,0.6279,0.6008,0.3244,0.2776,0.4999,0.4208,-0.0889,0.3559,0.5193,0.5019,-0.3009,0.1585,0.6494,0.5107,-0.4457,0.1457,0.4805,0.3053
85,0,0.5131,-0.0417,-0.3384,0.6217,0.5364,0.3509,0.2535,0.4471,0.4493,-0.0897,0.2914,0.5176,0.5168,-0.2882,0.1221,0.6408,0.4953,-0.4540,0.1286,0.4830,0.2905
86,0,0.7217,-0.0092,-0.2837,0.5994,0.5627,0.2926,0.2544,0.4823,0.3916,-0.0982,0.3045,0.5514,0.4857,-0.2859,0.1403,0.6459,0.4781,-0.4294,0.1313,0.4797,0.2811
87,0,0.1577,-0.0357,-0.2674,0.6081,0.6130,0.2918,0.2701,0.4727,0.3846,-0.0884,0.3431,0.5215,0.4856,-0.2848,0.1523,0.6405,0.4795,-0.4377,0.1078,0.4746,0.2570
88,0,0.1590,-0.0739,-0.3060,0.6190,0.5220,0.3745,0.2657,0.3736,0.4366,-0.0665,0.2955,0.4416,0.4970,-0.2638,0.1199,0.5766,0.4564,-0.4787,0.0809,0.4421,0.1982
89,0,0.3840,-0.0005,-0.2742,0.5963,0.4861,0.3607,0.2555,0.4086,0.4140,-0.0881,0.2537,0.4634,0.4737,-0.2749,0.1097,0.5611,0.4425,-0.4673,0.1358,0.4197,0.2208
90,3,0.2676,0.0138,-0.2281,0.5905,0.5184,0.3136,0.2671,0.4655,0.3495,-0.1201,0.2866,0.4837,0.4587,-0.3092,0.1769,0.5698,0.4808,-0.4496,0.2810,0.4342,0.3452
91,3,0.2032,-0.0867,-0.2290,0.5830,0.4580,0.3261,0.2650,0.4113,0.3531,-0.0978,0.3664,0.4284,0.4903,-0.3019,0.2952,0.5322,0.5210,-0.4986,0.4385,0.4100,0.3929
92,3,0.2502,-0.1673,-0.2420,0.5806,0.3924,0.3461,0.2758,0.3651,0.3873,-0.0868,0.3930,0.4576,0.5524,-0.2867,0.3254,0.5580,0.5631,-0.5360,0.5042,0.3823,0.3939
94,4,0.1520,-0.1008,-0.1408,0.5661,0.0658,0.3576,0.2400,0.1810,0.3443,-0.0820,0.3419,0.3924,0.5224,-0.2784,0.3430,0.4944,0.5369,-0.5312,0.5144,0.3154,0.3663
96,3,0.2260,-0.0721,-0.3323,0.4304,-0.2832,0.4348,0.2430,0.2794,0.3636,-0.0015,0.3834,0.4620,0.5545,-0.2477,0.3952,0.4877,0.5262,-0.5342,0.5251,0.3182,0.4320
97,1,0.2487,-0.0940,-0.3044,0.4743,-0.2742,0.3925,0.2433,0.2564,0.3687,-0.0411,0.3715,0.4827,0.5896,-0.2969,0.3432,0.5594,0.5874,-0.5134,0.4687,0.4186,0.4674
98,0,0.3400,-0.0788,-0.2920,0.4785,-0.2419,0.3573,0.2374,0.2330,0.3599,-0.0717,0.3810,0.4359,0.5674,-0.2968,0.3489,0.5242,0.5716,-0.5078,0.4823,0.4068,0.4366
99,0,0.1909,0.0391,-0.2919,0.4595,-0.2869,0.3186,0.2624,0.2662,0.3766,-0.0534,0.3660,0.4844,0.6077,-0.2702,0.3038,0.5832,0.6115,-0.4555,0.3962,0.5347,0.5829
100,0,0.1963,0.1268,-0.2784,0.5074,-0.2202,0.2346,0.3195,0.3501,0.3994,-0.0696,0.3782,0.5721,0.6542,-0.2608,0.2538,0.6925,0.6884,-0.3826,0.2857,0.7082,0.7980
101,1,0.2282,0.0746,-0.2663,0.5631,-0.0237,0.1814,0.3213,0.3885,0.4020,-0.1065,0.4052,0.5634,0.6348,-0.2708,0.2951,0.6607,0.6731,-0.3801,0.3165,0.6859,0.7678
102,1,0.2546,-0.0684,-0.2810,0.5821,0.1150,0.2613,0.2781,0.3298,0.3868,-0.0997,0.3858,0.4619,0.5787,-0.2720,0.3074,0.5277,0.5811,-0.4116,0.3208,0.5173,0.5314
103,1,0.2282,-0.1805,-0.2682,0.6047,0.2485,0.3357,0.2847,0.3147,0.3545,-0.0780,0.4011,0.4138,0.5465,-0.2616,0.2967,0.4934,0.5435,-0.4117,0.2479,0.4014,0.3746
104,1,0.2391,-0.1524,-0.2406,0.6172,0.3450,0.2819,0.3151,0.3857,0.3343,-0.0852,0.4363,0.4768,0.5554,-0.2682,0.3083,0.5668,0.5855,-0.3989,0.2461,0.3890,0.3855
105,0,0.4595,-0.0951,-0.2466,0.6023,0.3858,0.2611,0.3030,0.4496,0.3396,-0.0804,0.4905,0.5011,0.5466,-0.2762,0.3598,0.5711,0.5845,-0.4030,0.2639,0.4033,0.3704
106,0,0.1604,-0.0360,-0.2778,0.6010,0.4114,0.3537,0.3003,0.4875,0.4669,-0.0411,0.4298,0.4818,0.5592,-0.2862,0.2797,0.5657,0.5398,-0.4535,0.1843,0.4311,0.2972
107,0,0.4914,0.0284,-0.2729,0.5920,0.3721,0.3929,0.3097,0.4867,0.5360,-0.0391,0.3946,0.4475,0.5640,-0.2786,0.2080,0.6037,0.5128,-0.4620,0.0951,0.4681,0.2509
108,0,0.5443,0.0135,-0.3059,0.6114,0.3945,0.3597,0.3030,0.4862,0.5001,-0.0598,0.4197,0.4462,0.5721,-0.2809,0.2036,0.6497,0.5248,-0.4648,0.0969,0.5016,0.2672
109,0,0.4441,0.0043,-0.3779,0.6440,0.3884,0.3871,0.2639,0.4845,0.5333,-0.0484,0.3366,0.4598,0.5791,-0.3022,0.1582,0.6394,0.5345,-0.5008,0.1172,0.5048,0.2872
110,0,0.5092,0.0272,-0.3411,0.6204,0.4112,0.3634,0.2254,0.4502,0.4827,-0.0968,0.3287,0.4598,0.5321,-0.3060,0.1764,0.6142,0.5148,-0.4686,0.1397,0.4923,0.2908
111,0,0.2809,0.0463,-0.2247,0.6211,0.6882,0.2594,0.1977,0.6558,0.4004,-0.1431,0.3782,0.5864,0.5030,-0.2758,0.1788,0.7420,0.5480,-0.3952,0.1831,0.5328,0.3970
112,1,0.3941,0.0080,-0.0250,0.6341,0.8212,0.0692,0.1774,1.0683,0.3461,-0.1761,0.2978,0.9021,0.5262,-0.2266,0.1720,0.9534,0.6332,-0.3097,0.2275,0.6558,0.5858
114,0,0.2570,0.0480,0.0869,0.6484,1.0137,0.2469,0.7193,1.8510,0.4130,-0.2087,0.7713,1.7408,1.2717,0.0608,0.8499,1.6359,0.6437,-0.1767,0.8556,1.3021,1.2841
115,3,0.2442,0.0153,0.0421,0.6975,1.1092,0.4320,0.9354,1.8813,0.1992,-0.2308,1.0439,1.7694,1.4322,0.1516,1.1111,1.6793,0.6541,-0.1904,1.1129,1.3343,1.2653
117,0,0.2298,-0.3177,0.1980,0.6239,0.5307,-0.0450,-0.0775,1.0914,0.3735,-0.2427,0.1438,1.0063,0.6452,-0.1959,0.2131,0.8188,0.6434,-0.2907,0.2793,0.5515,0.5791
118,1,0.4202,-0.3079,0.2477,0.6237,0.5981,-0.0247,-0.0254,1.3958,0.4182,-0.1462,0.2286,1.2406,0.7404,-0.1170,0.3022,1.0447,0.7501,-0.1934,0.3102,0.7065,0.7734
122,0,0.5080,-0.0683,0.4533,0.4651,1.0450,0.1489,1.1680,1.9697,1.2576,0.0026,1.2007,1.9697,1.1348,0.0687,1.2713,1.8141,1.0043,-0.0478,1.3976,1.3992,1.0692
123,0,0.2586,-0.0973,0.4102,0.5296,0.9359,0.1388,0.9173,1.9624,1.1213,-0.0133,1.0389,1.9264,1.1559,0.0555,1.1006,1.8209,1.0010,-0.0507,1.2150,1.4316,1.0417
127,0,0.4065,-0.0687,0.4637,0.4121,0.6860,0.1355,1.1346,1.9698,1.1195,-0.0166,1.2578,1.9624,0.7024,0.0236,1.4302,1.6164,0.7802,-0.0198,1.5580,1.3464,0.8795
128,0,0.2429,-0.0144,0.4181,0.4964,0.7548,0.1338,0.9515,1.9692,0.9972,-0.0014,1.1173,1.9596,0.7939,0.0122,1.2650,1.6671,0.7917,-0.0398,1.3792,1.4122,0.9182
132,0,0.4429,-0.0142,0.0247,0.0414,0.0228,0.0043,0.0368,0.1137,0.0284,-0.0058,0.0545,0.1015,0.0405,0.0058,0.0573,0.0831,0.0234,-0.0153,0.0611,0.0480,0.0526
133,0,0.5888,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
134,0,0.3914,-0.0350,0.0863,0.1136,0.1678,0.0347,0.1355,0.4242,0.1747,-0.0012,0.2055,0.4087,0.1777,0.0227,0.2177,0.3759,0.1882,-0.0123,0.2146,0.2781,0.1764
135,1,0.2160,-0.1924,0.2068,0.3886,0.2880,0.0807,0.1679,0.8322,0.3347,-0.1093,0.3428,0.7183,0.4073,-0.0640,0.3343,0.6136,0.3947,-0.1554,0.3359,0.4241,0.2995
138,0,0.6694,-0.0427,0.4704,0.4501,0.9486,0.1682,1.1382,1.9697,1.2725,0.0030,1.2385,1.9697,0.8930,0.0971,1.3367,1.8291,0.9182,-0.0389,1.4009,1.3920,0.9893
139,0,0.5049,-0.0024,0.4599,0.4748,1.1475,0.1828,1.1415,1.9697,1.2446,0.0115,1.2269,1.9694,0.8902,0.0988,1.3145,1.8340,0.9134,-0.0444,1.3779,1.3892,0.9961
140,0,0.2754,-0.1017,0.4212,0.5063,0.8871,0.1471,0.8197,1.9193,1.0760,-0.0052,0.9783,1.8532,0.9141,0.0652,1.0379,1.7062,0.9259,-0.0511,1.0985,1.2699,1.0105
141,1,0.3189,-0.2721,0.3168,0.5521,0.4630,0.1101,0.2379,1.2914,0.6048,-0.0667,0.4841,1.1489,0.7043,-0.0878,0.4414,1.0544,0.6969,-0.1712,0.4512,0.7633,0.6697
142,3,0.2148,-0.3082,0.2824,0.5456,0.2925,0.0450,0.0306,0.8845,0.3074,-0.1798,0.2344,0.7723,0.4835,-0.2261,0.1931,0.6545,0.4788,-0.3042,0.2750,0.4017,0.3427
144,0,0.3923,-0.0559,0.3540,0.3162,0.6076,0.1263,0.8444,1.5001,0.9549,0.0283,0.9179,1.5002,0.7356,0.0689,1.0183,1.3597,0.6677,-0.0274,1.1285,1.0368,0.7073
145,0,0.7655,-0.0447,0.3509,0.3400,0.6110,0.1263,0.8606,1.5001,0.9436,0.0294,0.9299,1.5001,0.7311,0.0674,1.0218,1.3568,0.6560,-0.0306,1.1374,1.0301,0.7124
146,0,0.5903,-0.0551,0.4686,0.4419,0.7947,0.1686,1.1059,1.9697,1.2411,0.0419,1.1995,1.9697,0.9722,0.0935,1.3147,1.7923,0.8747,-0.0381,1.4601,1.3740,0.9396
147,3,0.1968,-0.0601,0.4761,0.4326,0.7891,0.1591,0.9155,1.9689,1.1365,0.0254,1.0570,1.9610,0.9650,0.0851,1.1592,1.7866,0.8999,-0.0389,1.2906,1.3738,0.9361
148,1,0.1397,-0.0700,0.4749,0.4342,0.7866,0.1160,0.4146,1.5179,0.7452,-0.0916,0.6339,1.4009,0.7607,-0.0514,0.6495,1.2502,0.7222,-0.1469,0.7072,0.9218,0.6919
151,0,0.3759,-0.0012,0.2357,0.2636,0.5671,0.1009,0.6064,1.1446,0.7080,0.0192,0.7142,1.1446,0.4488,0.0104,0.7854,0.9784,0.4442,-0.0340,0.8965,0.7660,0.5348
152,0,0.2675,-0.0347,0.4044,0.4941,0.9375,0.1605,0.9378,1.9696,1.1353,0.0260,1.1506,1.9621,0.8130,0.0114,1.2701,1.6853,0.7904,-0.0660,1.4491,1.3430,0.9337
153,1,0.1900,-0.1743,0.3214,0.5632,0.7279,0.1130,0.4960,1.5808,0.7649,-0.0780,0.7384,1.4967,0.7629,-0.0678,0.7968,1.2622,0.7123,-0.1452,0.9370,0.9694,0.7049
155,4,0.2011,-0.1011,0.4182,0.4558,0.7782,0.0761,0.8511,1.7422,0.9494,-0.0755,0.9906,1.7086,0.7131,0.0474,1.2211,1.2807,1.0399,-0.1802,1.2955,0.9545,0.8536
156,0,0.5447,-0.0870,0.4282,0.4933,0.9193,0.1449,1.1493,1.9697,1.1575,0.0100,1.2742,1.9697,0.8009,0.1607,1.5721,1.4538,1.2659,-0.1575,1.5322,1.1739,1.1348
157,0,0.2952,-0.0860,0.4273,0.5265,0.8937,0.1480,1.0918,1.9698,1.1186,0.0098,1.2397,1.9675,0.8154,0.1567,1.5308,1.4913,1.2111,-0.1624,1.4955,1.1858,1.1388
158,0,0.2315,-0.1765,0.3469,0.5399,0.7451,0.1418,0.6664,1.6802,0.8071,-0.0111,0.8838,1.6044,0.7596,0.0401,1.0473,1.2823,0.9158,-0.0962,1.0319,0.9003,0.9520
159,3,0.1929,-0.2609,0.2723,0.5456,0.4598,0.0960,0.1768,1.0493,0.4168,-0.1446,0.3637,0.9580,0.5964,-0.1660,0.3626,0.7961,0.5402,-0.2076,0.4433,0.4456,0.5061
160,2,0.2545,-0.1740,0.3690,0.4491,0.5174,0.1020,0.4392,1.3223,0.7450,-0.1206,0.5666,1.2770,0.8219,-0.1157,0.5329,1.1272,0.7267,-0.2572,0.6391,0.7835,0.6521
161,2,0.2093,-0.0574,0.4713,0.3267,0.8116,0.1703,0.9005,1.9531,1.2992,0.0242,1.0267,1.9256,1.2098,0.0450,1.0454,1.7990,1.0300,-0.1135,1.1025,1.3599,1.1008
162,0,0.2206,-0.0517,0.4713,0.3638,0.8436,0.1778,0.9831,1.9697,1.3632,0.0160,1.1068,1.9628,1.2709,0.0585,1.1609,1.8821,1.0305,-0.1111,1.2198,1.4370,1.1223
163,0,0.4081,-0.1424,0.4201,0.4672,0.7410,0.1628,0.7859,1.9489,1.1252,-0.0155,1.0001,1.8727,1.2475,0.0449,1.0315,1.8043,1.0015,-0.1038,1.0803,1.3427,1.0658
164,0,0.4330,-0.2442,0.3450,0.5305,0.5426,0.1047,0.3144,1.5358,0.6719,-0.1030,0.5852,1.3655,0.9259,-0.0706,0.5958,1.2174,0.7955,-0.2067,0.6752,0.8152,0.7412
165,2,0.1965,-0.2154,0.3823,0.5093,0.4547,0.0265,0.1831,1.4187,0.5167,-0.1673,0.4398,1.2914,0.6987,-0.1308,0.4909,1.0354,0.6938,-0.2767,0.6614,0.5980,0.6217
166,4,0.1681,-0.1164,0.4548,0.4352,0.6629,0.0841,0.7013,1.8318,0.9576,-0.0898,0.9098,1.8055,0.8585,-0.0071,1.0114,1.5907,0.8406,-0.1499,1.1810,1.0687,0.9208
167,0,0.2129,-0.0794,0.4565,0.4175,0.7903,0.1601,1.0101,1.9697,1.2656,-0.0166,1.1880,1.9697,0.9578,0.0692,1.2860,1.8320,0.9093,-0.0840,1.3979,1.3431,1.0478
168,3,0.2249,-0.1637,0.4083,0.4844,0.6198,0.1463,0.6511,1.8890,1.0227,-0.0305,0.8961,1.8037,0.9947,0.0454,0.9624,1.6923,0.9227,-0.0834,1.0350,1.2359,0.9954
